Least of These Carolinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget vs. Actuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All dates; Accounting Method: Cash; Budget: Budget_FY26_P&L; Display columns by: ; Show rows: Active; Show columns: Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Administrative Actual,Administrative Budget,Administrative Over Budget,Administrative % of Budget,Childrens Programs &lt; Actual,Childrens Programs &lt; Budget,Childrens Programs &lt; Over Budget,Childrens Programs &lt; % of Budget,Baby Equipment Actual,Baby Equipment Budget,Baby Equipment Over Budget,Baby Equipment % of Budget,Bags of Hope Actual,Bags of Hope Budget,Bags of Hope Over Budget,Bags of Hope % of Budget,Beds of Hope Actual,Beds of Hope Budget,Beds of Hope Over Budget,Beds of Hope % of Budget,Birthdays Actual,Birthdays Budget,Birthdays Over Budget,Birthdays % of Budget,Bridge Camp Actual,Bridge Camp Budget,Bridge Camp Over Budget,Bridge Camp % of Budget,Christmas Actual,Christmas Budget,Christmas Over Budget,Christmas % of Budget,Just Like You Actual,Just Like You Budget,Just Like You Over Budget,Just Like You % of Budget,Life Boxes Actual,Life Boxes Budget,Life Boxes Over Budget,Life Boxes % of Budget,Shoes of Hope Actual,Shoes of Hope Budget,Shoes of Hope Over Budget,Shoes of Hope % of Budget,Total Childrens Programs &lt; Actual,Total Childrens Programs &lt; Budget,Total Childrens Programs &lt; Over Budget,Total Childrens Programs &lt; % of Budget,Cornerstone Fund Actual,Cornerstone Fund Budget,Cornerstone Fund Over Budget,Cornerstone Fund % of Budget,Fundraising &lt; Actual,Fundraising &lt; Budget,Fundraising &lt; Over Budget,Fundraising &lt; % of Budget,Golf Tournament Actual,Golf Tournament Budget,Golf Tournament Over Budget,Golf Tournament % of Budget,Vision Night Actual,Vision Night Budget,Vision Night Over Budget,Vision Night % of Budget,Total Fundraising &lt; Actual,Total Fundraising &lt; Budget,Total Fundraising &lt; Over Budget,Total Fundraising &lt; % of Budget,NC Expansion Actual,NC Expansion Budget,NC Expansion Over Budget,NC Expansion % of Budget,Support Services Actual,Support Services Budget,Support Services Over Budget,Support Services % of Budget,Total Actual,Total Budget,Total Over Budget,Total % of Budget
Total 430 Grants,0.00,205000.00,-205000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60000.00,-60000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120000.00,-120000.00,0.00,0.00,14000.00,-14000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194000.00,-194000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,399000.00,-399000.00,0.00%
490 Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
49000 Interest Income,82.30,5478.03,-5395.73,1.50 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.30,5478.03,-5395.73,1.50 %
49015 Merchandise Sales,53.94,,53.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.94,0.00,53.94,0.00%
Total 490 Other Income,136.24,5478.03,-5341.79,2.49 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,136.24,5478.03,-5341.79,2.49 %
Unapplied Cash Payment Income,124.21,,124.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.21,0.00,124.21,0.00%
Total Revenue,62492.85,229444.15,-166951.30,27.24 %,0.00,0.00,0.00,0.00%,0.00,23577.63,-23577.63,0.00%,9596.15,432254.54,-422658.39,2.22 %,0.00,38577.63,-38577.63,0.00%,300.00,34681.17,-34381.17,0.87 %,2270.00,226966.08,-224696.08,1.00 %,1491.00,160174.38,-158683.38,0.93 %,0.00,43577.63,-43577.63,0.00%,1083.00,33577.63,-32494.63,3.23 %,0.00,141089.56,-141089.56,0.00%,14740.15,1134476.25,-1119736.10,1.30 %,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,11250.00,-11250.00,0.00%,810.00,7095.00,-6285.00,11.42 %,810.00,18345.00,-17535.00,4.42 %,0.00,0.00,0.00,0.00%,0.00,70016.51,-70016.51,0.00%,78043.00,1452281.91,-1374238.91,5.37 %
Gross Profit,62492.85,229444.15,-166951.30,27.24 %,0.00,0.00,0.00,0.00%,0.00,23577.63,-23577.63,0.00 %,9596.15,432254.54,-422658.39,2.22 %,0.00,38577.63,-38577.63,0.00 %,300.00,34681.17,-34381.17,0.87 %,2270.00,226966.08,-224696.08,1.00 %,1491.00,160174.38,-158683.38,0.93 %,0.00,43577.63,-43577.63,0.00 %,1083.00,33577.63,-32494.63,3.23 %,0.00,141089.56,-141089.56,0.00 %,14740.15,1134476.25,-1119736.10,1.30 %,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,11250.00,-11250.00,0.00 %,810.00,7095.00,-6285.00,11.42 %,810.00,18345.00,-17535.00,4.42 %,0.00,0.00,0.00,0.00%,0.00,70016.51,-70016.51,0.00 %,78043.00,1452281.91,-1374238.91,5.37 %
Expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600 Personnel Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
60000 Salaries & Wages,39597.75,469383.24,-429785.49,8.44 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39597.75,469383.24,-429785.49,8.44 %
60005 Payroll Taxes,11903.63,71815.68,-59912.05,16.58 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11903.63,71815.68,-59912.05,16.58 %
60032 Health and Wellness,480.00,12960.00,-12480.00,3.70 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.00,12960.00,-12480.00,3.70 %
60038 Team Building / Birthdays / Celebrations,581.23,2000.00,-1418.77,29.06 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.23,2000.00,-1418.77,29.06 %
60067 Staff Development,,1000.00,-1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1000.00,-1000.00,0.00%
60068 Leadership Development,3692.81,19240.00,-15547.19,19.19 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3692.81,19240.00,-15547.19,19.19 %
Total 600 Personnel Expenses,56255.42,576398.92,-520143.50,9.76 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56255.42,576398.92,-520143.50,9.76 %
610 Professional Fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
61000 Advertising and Promotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00%
61001 Software,129.96,1000.00,-870.04,13.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.96,1000.00,-870.04,13.00 %
61003 Promotional Items,,3000.00,-3000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3000.00,-3000.00,0.00%
61004 Merchandise,,3500.00,-3500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3500.00,-3500.00,0.00%
61006 Volunteer T-Shirts,,500.00,-500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,500.00,-500.00,0.00%
61007 Other / General,,3500.00,-3500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3500.00,-3500.00,0.00%
61008 Website,,11000.00,-11000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,11000.00,-11000.00,0.00%
Total 61000 Advertising and Promotion,129.96,22500.00,-22370.04,0.58 %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.96,22500.00,-22370.04,0.58 %
61010 Donation Processing Fees,351.97,3500.00,-3148.03,10.06 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.97,3500.00,-3148.03,10.06 %
61015 Accounting Fees,112.43,3000.00,-2887.57,3.75 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.43,3000.00,-2887.57,3.75 %
61020 Legal Services,,1500.00,-1500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1500.00,-1500.00,0.00%
61040 Background Checks,,100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,,400.00,-400.00,,1865.00,2500.00,-635.00,74.60 %,,,,,,,,,,,,,1865.00,2900.00,-1035.00,64.31 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865.00,3000.00,-1135.00,62.17 %
61045 Technology Support Fees,3560.00,19320.00,-15760.00,18.43 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3560.00,19320.00,-15760.00,18.43 %
61050 Contract Labor,2500.00,32340.00,-29840.00,7.73 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.00,32340.00,-29840.00,7.73 %
61055 Payroll Service Fees,236.00,3500.00,-3264.00,6.74 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.00,3500.00,-3264.00,6.74 %
61080 Strategic Consulting,15000.00,15000.00,0.00,100.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.00,15000.00,0.00,100.00 %
